index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,category,TasterName,TastingDate,Country,Price,QuantitySold,ProduceDate,Sequence Tasting
131,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,red,Alice,11/15/2022,France,90.55,27,3/18/2005,20
132,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,red,Alice,2/15/2020,Italy,54.38,73,2/25/2008,21
134,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,red,Alice,7/3/2022,USA,91.42,20,10/10/2000,22
152,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,red,Alice,9/27/2022,Argentina,55.71,35,10/3/2001,23
154,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,red,Alice,2/15/2022,Argentina,41.56,12,6/1/2007,24
156,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,red,Alice,1/3/2020,USA,81.92,18,3/26/2004,25
157,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,red,Alice,9/14/2022,France,65.6,77,3/23/2009,26
167,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,red,Alice,6/4/2020,Australia,84.3,17,3/23/2005,27
177,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,red,Alice,6/3/2020,Italy,70.21,92,7/21/2006,28
179,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,red,Alice,11/26/2021,Italy,87.68,19,2/3/2016,29
180,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,red,Alice,10/24/2022,Australia,54.46,22,4/9/2000,30
186,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,red,Alice,7/30/2022,Australia,90.77,39,12/29/2007,31
192,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,red,Alice,12/26/2022,Spain,73.7,50,12/9/2018,32
223,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,red,Alice,12/19/2021,Italy,63.84,72,12/17/2018,33
235,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,red,Alice,7/21/2020,Argentina,38.07,21,9/12/2011,34
241,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,red,Alice,4/12/2021,Spain,12.75,21,11/23/2013,35
247,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5,red,Alice,1/18/2022,Italy,14.38,9,11/24/2002,36
251,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,red,Alice,5/18/2020,Spain,41.88,34,11/4/2013,37
256,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,red,Alice,4/17/2021,Argentina,95.17,82,1/24/2018,38
257,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5,red,Alice,3/26/2021,France,30.5,96,10/17/2008,39
277,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,red,Alice,9/30/2020,Spain,93.2,85,6/25/2015,40
278,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,red,Alice,7/8/2021,Australia,44.16,8,7/14/2009,41
279,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,red,Alice,3/23/2022,Argentina,39.09,56,10/23/2006,42
280,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,red,Alice,7/17/2022,USA,34.1,47,4/11/2014,43
282,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5,red,Alice,10/17/2020,Australia,66.14,61,8/24/2008,44
288,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7,red,Alice,4/9/2020,Italy,79.75,61,4/11/2004,45
293,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,red,Alice,4/4/2020,Australia,50.46,67,7/17/2011,46
296,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,red,Alice,10/10/2021,Argentina,84.07,85,4/30/2003,47
314,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,red,Alice,7/7/2022,USA,25.17,74,10/8/2011,48
316,9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5,red,Alice,11/8/2020,Italy,61.5,24,8/21/2011,49
319,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,red,Alice,7/10/2021,Italy,70.05,9,11/3/2003,50
321,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5,red,Alice,10/25/2021,Australia,55.34,26,7/12/2012,51
326,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,red,Alice,4/16/2022,Argentina,95.67,94,2/9/2015,52
327,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,red,Alice,8/22/2022,Argentina,66.12,23,12/22/2012,53
328,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,red,Alice,3/11/2020,Spain,14.78,6,9/27/2002,54
333,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,red,Alice,5/20/2020,USA,52.13,33,6/10/2002,55
343,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red,Alice,3/15/2021,Australia,35.62,46,5/18/2018,56
346,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7,red,Alice,7/8/2020,Australia,75.9,86,9/1/2014,57
355,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,red,Alice,1/8/2022,Spain,11.79,90,10/23/2016,58
358,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7,red,Alice,7/2/2020,Australia,49.41,13,10/6/2009,59
377,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,red,Alice,3/20/2022,Australia,45.92,1,6/25/2003,60
380,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,red,Alice,3/15/2021,Australia,66.1,37,3/31/2002,61
391,13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,red,Alice,5/1/2022,Australia,32.31,41,10/6/2008,62
393,8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5,red,Alice,5/19/2020,Australia,95,100,7/23/2005,63
396,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,red,Alice,4/23/2022,Australia,47.29,20,8/6/2008,64
403,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,red,Alice,11/27/2020,Spain,64.74,73,1/7/2011,65
404,7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5,red,Alice,5/3/2021,Spain,16.57,11,12/1/2013,66
417,7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,red,Alice,5/11/2020,Spain,25.24,19,6/27/2010,67
418,11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,red,Alice,2/7/2022,Spain,84.32,89,9/30/2016,68
423,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,red,Alice,2/5/2020,Spain,52.59,18,5/22/2008,69
438,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,red,Alice,6/19/2022,France,52.17,34,1/16/2005,70
443,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,red,Alice,12/7/2020,USA,93.8,41,2/18/2017,71
444,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,red,Alice,6/16/2021,Spain,22.64,42,2/9/2014,72
456,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5,red,Alice,2/21/2020,Italy,68.53,5,12/12/2012,73
459,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,red,Alice,8/1/2022,Spain,88.06,67,8/13/2005,74
465,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5,red,Alice,7/21/2022,Spain,76.63,17,6/7/2001,75
473,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,red,Alice,7/31/2020,USA,90.41,86,12/16/2010,76
475,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,red,Alice,7/23/2022,Australia,73.81,87,7/18/2011,77
478,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5,red,Alice,1/31/2022,France,99.05,64,8/14/2002,78
480,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,red,Alice,10/15/2022,Spain,89.09,90,11/3/2008,79
481,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,red,Alice,11/27/2022,Spain,17.56,57,5/2/2002,80
484,10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,red,Alice,7/8/2020,Argentina,50.19,76,9/7/2011,81
487,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,red,Alice,1/1/2022,USA,40.66,68,10/18/2014,82
498,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,red,Alice,2/24/2020,USA,27.1,50,1/9/2017,83
499,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,red,Alice,2/25/2020,France,86.43,7,3/16/2005,84
509,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7,red,Alice,11/12/2020,France,37.68,18,7/21/2009,85
520,9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6,red,Alice,3/19/2020,Australia,66.25,56,2/27/2008,86
521,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5,red,Alice,2/12/2020,USA,47.6,34,6/8/2014,87
527,7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,red,Alice,8/15/2020,Argentina,10.26,79,6/14/2009,88
534,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,red,Alice,3/4/2020,Spain,25.67,18,7/4/2015,89
535,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,red,Alice,4/27/2020,Australia,72.26,88,10/31/2018,90
538,12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7,red,Alice,2/29/2020,Italy,20.34,36,9/5/2013,91
543,11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6,red,Alice,12/26/2022,Spain,98.47,78,5/13/2001,92
546,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6,red,Alice,11/26/2020,Spain,75.01,86,11/30/2018,93
552,9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,red,Alice,12/8/2020,Argentina,68.05,72,8/31/2003,94
555,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,red,Alice,6/2/2022,USA,86.16,32,2/24/2004,95
556,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,red,Alice,9/1/2021,Spain,13.4,31,12/18/2011,96
563,7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6,red,Alice,7/2/2020,Australia,16.87,21,6/9/2003,97
566,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,red,Alice,12/5/2020,Australia,25.75,61,10/23/2017,98
567,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,red,Alice,7/18/2022,Spain,59.45,100,9/19/2009,99
571,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,red,Alice,8/6/2021,Australia,33.64,61,9/3/2002,100
591,6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6,red,Alice,4/18/2021,Spain,37.39,44,11/12/2001,101
602,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,red,Alice,5/28/2022,France,20.52,84,4/5/2017,102
610,8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5,red,Alice,4/19/2022,Australia,87.66,25,4/20/2018,103
612,7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6,red,Alice,11/17/2020,Australia,30.25,45,9/18/2014,104
617,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,red,Alice,2/14/2022,USA,93.19,93,4/23/2008,105
620,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5,red,Alice,8/5/2020,USA,48.61,88,5/31/2010,106
621,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5,red,Alice,4/20/2022,USA,96.5,40,8/24/2002,107
635,8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5,red,Alice,1/21/2022,USA,39.66,32,7/5/2013,108
646,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5,red,Alice,2/22/2022,Australia,47.04,10,9/21/2008,109
649,6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6,red,Alice,9/12/2022,France,29.42,87,11/13/2002,110
650,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,red,Alice,6/5/2021,Australia,61.77,91,6/3/2015,111
651,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,red,Alice,7/12/2021,Australia,33.76,40,5/15/2003,112
657,12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7,red,Alice,1/23/2022,Spain,79.37,65,3/13/2005,113
666,8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6,red,Alice,1/20/2021,Spain,67.78,14,5/3/2013,114
667,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red,Alice,1/7/2021,Spain,19.93,37,4/26/2005,115
668,10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,red,Alice,6/14/2022,Spain,68.63,25,5/5/2003,116
677,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,red,Alice,4/4/2021,Australia,72.83,56,3/10/2012,117
681,8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6,red,Alice,5/14/2021,Italy,84.48,70,9/6/2008,118
687,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,red,Alice,8/6/2021,USA,53.08,11,12/2/2013,119
688,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,red,Alice,3/20/2021,Spain,62.28,90,11/28/2003,120
693,9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5,red,Alice,6/9/2021,Argentina,50.11,16,4/7/2016,121
696,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6,red,Alice,9/3/2021,Argentina,86.34,76,11/10/2017,122
700,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,red,Alice,3/4/2020,Italy,65.37,40,7/29/2015,123
703,7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4,red,Alice,3/15/2022,Australia,77.21,5,10/7/2013,124
714,9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5,red,Alice,4/28/2020,Argentina,11.62,60,6/11/2006,125
719,7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5,red,Alice,9/4/2021,USA,88.75,41,11/20/2015,126
723,7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5,red,Alice,9/18/2022,France,35.26,68,1/15/2012,127
724,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,red,Alice,6/30/2020,Australia,84.89,82,6/1/2005,128
728,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,red,Alice,12/10/2022,USA,62.11,53,10/4/2007,129
731,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,red,Alice,8/19/2020,Argentina,11.98,5,4/30/2015,130
735,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,red,Alice,4/27/2021,France,16.91,83,9/24/2015,131
739,9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,5,red,Alice,3/23/2020,Australia,90.09,21,3/6/2015,132
755,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6,red,Alice,5/9/2022,USA,74.15,89,9/30/2008,133
759,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5,red,Alice,2/13/2020,USA,30.2,26,9/10/2001,134
775,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,red,Alice,10/15/2022,Australia,19.06,32,11/6/2012,135
779,7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5,red,Alice,11/10/2020,Spain,29.49,7,6/16/2017,136
781,6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5,red,Alice,6/6/2021,Italy,22.32,90,3/11/2006,137
782,9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5,red,Alice,9/6/2022,Argentina,37.95,43,8/8/2001,138
787,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,red,Alice,3/14/2020,Australia,10.29,10,1/8/2014,139
789,8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5,red,Alice,5/9/2020,Spain,78.3,90,4/26/2002,140
792,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,red,Alice,2/8/2022,Argentina,83.69,38,8/15/2016,141
794,10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6,red,Alice,5/4/2022,Spain,47.97,10,2/12/2004,142
805,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,red,Alice,3/26/2022,Argentina,19.24,49,7/20/2015,143
809,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,red,Alice,8/18/2022,USA,35.94,74,8/14/2005,144
820,7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5,red,Alice,9/4/2022,Italy,95.93,63,10/6/2007,145
821,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7,red,Alice,2/20/2020,Spain,64.31,72,3/11/2016,146
824,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,red,Alice,6/13/2021,USA,37.68,53,2/23/2014,147
833,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,red,Alice,10/12/2021,Australia,85.64,76,8/5/2004,148
839,6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5,red,Alice,3/29/2021,Argentina,52.15,49,6/14/2013,149
840,11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7,red,Alice,12/15/2022,Spain,18.7,83,9/8/2001,150
844,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,red,Alice,11/28/2021,Spain,60.46,56,8/4/2008,151
846,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,red,Alice,1/7/2022,Australia,54.25,12,8/15/2017,152
848,6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,red,Alice,10/11/2020,Argentina,16.61,7,5/24/2012,153
856,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,red,Alice,10/4/2021,Italy,44.6,73,4/25/2012,154
860,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,red,Alice,12/21/2022,Italy,91.38,36,8/22/2018,155
867,6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6,red,Alice,2/22/2020,Italy,33.68,69,3/16/2006,156
869,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6,red,Alice,11/24/2022,France,60.54,32,11/4/2013,157
871,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,red,Alice,7/8/2022,Argentina,83.72,47,1/29/2015,158
879,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5,red,Alice,11/5/2022,Australia,54.86,87,12/29/2008,159
885,8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5,red,Alice,7/22/2021,Spain,37.01,37,3/6/2011,160
889,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,red,Alice,1/28/2022,Italy,91.63,77,7/28/2002,161
892,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,red,Alice,10/26/2020,Italy,50.11,35,11/15/2016,162
897,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,red,Alice,12/27/2020,Argentina,44.07,10,5/14/2016,163
906,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5,red,Alice,10/15/2020,Italy,13.14,21,4/9/2014,164
909,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,red,Alice,2/9/2020,Italy,36.07,4,2/18/2003,165
913,9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7,red,Alice,7/15/2021,USA,12.29,89,2/24/2005,166
926,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6,red,Alice,11/2/2022,Argentina,99.96,21,5/2/2012,167
952,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7,red,Alice,4/6/2021,Australia,70.26,76,10/26/2016,168
961,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,red,Alice,5/26/2020,France,74.18,78,11/10/2018,169
967,8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5,red,Alice,3/3/2022,Australia,74.5,27,1/5/2012,170
975,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,red,Alice,6/1/2022,Argentina,38.46,8,12/14/2006,171
976,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,red,Alice,4/10/2021,Argentina,68.87,24,5/1/2008,172
983,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,red,Alice,7/4/2021,Italy,78.57,32,6/26/2005,173
984,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,red,Alice,7/4/2020,Italy,63.17,53,4/15/2000,174
987,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5,red,Alice,3/12/2020,Italy,37.42,24,10/19/2005,175
991,7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,red,Alice,9/9/2020,Spain,49.74,14,12/1/2011,176
996,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,red,Alice,3/14/2020,Argentina,47.39,57,12/23/2004,177
1006,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,red,Alice,5/14/2020,USA,55.66,71,6/20/2001,178
1012,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5,red,Alice,10/3/2022,Australia,32.33,41,7/5/2000,179
1015,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6,red,Alice,1/3/2020,Italy,66.27,50,8/28/2001,180
1018,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6,red,Alice,9/12/2022,Spain,68.09,8,11/24/2018,181
